id,kon1,kon2,kon3,kon4,kon5,kon6,kon7,kon8,kon9,kon10,kon11,kon12,kon13,kon14,kon15,kon16,kon17,nas1,nas2,nas3,nas4,nas5,nas6,nas7,nas8,nas9,nas10,nas11,nas12,nas13,nas14,nas15,nas16,nas17,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,rz1,rz2,rz3,rz4,rz5,rz6,rz7,rz8,rz9,rz10,rz11,rz12,rz13,rz14,rz15,rz16,tjokowi,tprabowo,preferensi,gender
358,7,1,1,2,7,7,4,4,1,4,4,4,4,4,1,4,4,7,4,4,7,4,4,4,7,7,4,4,4,4,1,1,1,1,9,9,9,1,5,5,9,1,9,5,9,1,9,5,9,7,4,7,7,1,4,4,4,1,7,1,4,1,1,1,1,5,5,3,3,3,1,1,5,5,1,3,1,3,5,5,3,1,101,1,Laki-Laki
359,3,1,1,1,2,5,3,2,5,5,2,2,5,5,5,2,2,5,5,5,5,5,5,3,6,6,3,2,2,2,2,2,6,6,8,1,7,2,9,2,8,2,9,1,8,2,9,1,8,3,3,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,42,52,3,Perempuan
361,6,2,4,2,2,7,5,4,5,2,5,3,5,5,3,4,5,6,4,4,5,6,3,2,3,2,5,4,2,3,4,2,3,4,9,2,9,2,8,4,9,2,7,9,8,2,8,3,9,7,1,2,6,4,2,2,1,5,4,2,2,1,2,2,4,5,5,5,5,5,1,5,5,5,1,5,4,1,5,5,5,77,92,2,Perempuan
362,4,5,5,5,4,7,7,1,4,7,7,6,7,7,4,6,6,4,2,3,3,6,1,2,6,2,3,1,1,1,2,2,2,6,9,3,9,5,9,5,9,5,8,9,9,5,9,8,9,6,4,4,5,2,4,4,4,4,3,2,2,3,4,2,2,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,23,61,3,Perempuan
366,6,3,5,4,3,4,3,4,6,4,2,2,4,3,3,3,4,6,4,2,4,5,5,4,3,2,5,6,5,3,4,5,4,5,7,7,7,1,8,5,4,3,7,8,8,5,8,5,7,5,2,2,4,6,2,3,2,5,5,2,2,3,3,2,3,4,4,4,5,4,2,4,4,4,3,2,2,5,4,5,4,40,61,6,Laki-Laki
369,4,2,4,3,7,7,5,5,4,4,7,4,7,5,4,4,7,4,5,5,5,2,1,2,3,2,3,1,4,2,3,1,4,1,9,4,9,4,9,7,7,1,6,9,7,9,9,3,8,6,2,4,4,4,4,4,4,7,7,2,3,1,4,4,4,5,5,5,5,5,2,5,5,5,2,5,5,5,5,5,4,62,55,11,Laki-Laki
370,1,1,5,1,7,7,7,7,5,7,7,1,5,7,2,7,5,7,7,1,7,1,1,7,7,1,5,1,7,2,1,1,2,7,9,1,9,1,9,1,9,1,9,8,9,9,9,1,9,7,1,1,1,1,1,1,1,1,5,7,7,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,101,1,Laki-Laki
373,1,2,5,4,2,6,6,2,4,2,7,3,7,5,3,3,6,6,2,3,4,6,6,3,7,4,5,1,2,1,2,2,2,6,9,6,9,1,8,3,9,2,8,7,9,7,9,4,9,7,4,2,2,2,2,2,2,2,6,2,2,2,2,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,19,20,4,Perempuan
375,6,3,2,3,2,2,2,6,1,1,1,1,1,1,1,1,2,6,2,6,4,7,7,5,3,7,6,6,6,6,7,7,6,5,5,1,4,1,4,1,5,2,6,1,4,2,8,1,9,4,2,2,4,6,2,2,2,2,3,2,3,1,1,1,1,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,15,64,6,Laki-Laki
377,1,3,4,4,7,7,7,5,4,1,7,4,7,7,7,7,2,1,2,2,2,2,2,1,2,4,7,1,4,1,7,3,1,1,9,4,9,1,9,1,9,1,9,7,9,5,9,3,9,4,1,1,4,3,3,6,7,1,2,6,3,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,51,36,9,Laki-Laki
